judul,penulis,kategori,stok,kode_buku,penerbit,tahun_terbit,sumber_url
Laut Bercerita,Leila S. Chudori,Fiksi Indonesia,5,IND-001,KPG,2025,https://perpustakaan.jakarta.go.id/book/detail?cn=INLIS000000000876723
Pulang,Leila S. Chudori,Fiksi Indonesia,4,IND-002,KPG (Kepustakaan Populer Gramedia),2023,https://perpustakaan.jakarta.go.id/book/detail?cn=INLIS000000000854091
Laskar Pelangi,Andrea Hirata,Fiksi Indonesia,5,IND-003,Bentang,2008,https://perpustakaan.jakarta.go.id/book/detail?cn=JAKPU-12139000001531
Sang Pemimpi,Andrea Hirata,Fiksi Indonesia,4,IND-004,PT Bentang Pustaka,2006,https://perpustakaan.jakarta.go.id/book/detail?cn=INLIS000000000802831
Perahu Kertas,Dee Lestari,Fiksi Remaja,4,IND-005,Bentang Pustaka,2012,https://perpustakaan.jakarta.go.id/book/detail?cn=INLIS000000000000524
Hujan,Tere Liye,Fiksi Indonesia,5,IND-006,Gramedia Pustaka Utama,2018,https://perpustakaan.jakarta.go.id/book/detail?cn=INLIS000000000774326
Negeri 5 Menara,Ahmad Fuadi,Fiksi Indonesia,4,IND-007,Gramedia Pustaka Utama,2010,https://perpustakaan.jakarta.go.id/book/detail?cn=INLIS000000000849155
Rantau 1 Muara,Ahmad Fuadi,Fiksi Indonesia,3,IND-008,Gramedia Pustaka Utama,2013,https://perpustakaan.jakarta.go.id/book/detail?cn=INLIS000000000845703
Bumi Manusia,Pramoedya Ananta Toer,Sastra Indonesia,4,IND-009,Lentera Dipantara,2011,https://perpustakaan.jakarta.go.id/book/detail?cn=INLIS000000000849150
Ronggeng Dukuh Paruk,Ahmad Tohari,Sastra Indonesia,4,IND-010,Gramedia Pustaka Utama,2003,https://balaiyanpus.jogjaprov.go.id/opac/detail-opac?id=259207
Cantik Itu Luka,Eka Kurniawan,Sastra Indonesia,4,IND-011,Gramedia Pustaka Utama,2022,https://perpustakaan.jakarta.go.id/book/detail?cn=INLIS000000000833931
Ayat-Ayat Cinta,Habiburrahman El Shirazy,Novel Islami,4,IND-012,Republika Penerbit,2008,https://perpustakaan.jakarta.go.id/book/detail?cn=INLIS000000000835348
Filosofi Teras,Henry Manampiring,Psikologi / Motivasi,3,IND-013,Penerbit Buku Kompas,2023,https://perpustakaan.jakarta.go.id/book/detail?cn=INLIS000000000849340
Orang-Orang Proyek,Ahmad Tohari,Fiksi Indonesia,3,IND-014,Gramedia Pustaka Utama,2016,https://perpustakaan.jakarta.go.id/book/detail?cn=inlis000000000774594
Nanti Kita Cerita Tentang Hari Ini,Marchella FP,Novel Remaja,4,IND-015,POP,2018,https://books.google.com/books/about/Nanti_kita_cerita_tentang_hari_ini.html?id=RoL0wQEACAAJ
